Cuadro 7.2 (?),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem. ep.,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,,,21,,,22,,,23,,,24,,,25,,,26,,,27,,,28,,,29,,,30,,,31,,,32,,,33,,,34,,,35,,,36,,,37,,,38,,,39,,,40,,,41,,,42,,,43,,,44,,,45,,,46,,,47,,,48,,,49,,,50,,,51,,,52,,,53,,
E.F.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.,Sem.,H Ac.,M Ac.
AGU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BCN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BCS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,1,5,-,-,5,-,2,6,1,-,6,1,1,6,2,-,5,2,-,6,2,1,6,3,-,6,3,2,6,5,-,6,5,-,6,5,-,6,5,-,6,5,1,6,6,1,7,6,1,8,6,1,9,6,2,9,8,-,9,8,1,9,9,-,9,9,-,9,9,-,9,9,-,9,9,2,9,11,1,9,12,5,11,13,1,12,13,2,14,13,-,14,13,3,14,16,19,19,30,24,32,41,36,50,57,13,55,65,20,62,78,6,67,79,21,73,94,14,77,104,8,78,111,-,78,111,14,84,118
CAM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,1,1,2,1,-,2,1,1,3,1,-,3,1,-,3,1,-,3,1,-,3,1,-,3,1,2,4,2,-,4,2,1,5,2,-,5,2,1,1,1,1,1,1,1,1,1,-,6,2,1,7,2,-,7,2,2,7,4,3,9,5,4,12,6,-,12,6,3,13,8,-,13,8,3,15,9,5,17,12,-,17,12,-,17,12,3,19,13,3,20,15,3,22,16,2,22,18,-,22,18,-,22,18,-,22,18,-,22,18,3,22,21,3,24,22,-,24,22,-,24,22,-,24,22,-,24,22,-,24,22,-,24,22,-,24,22
COA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,1,1,1,-,1,1,-,1,1,-,1,1,3,2,3,-,2,3,10,7,8,2,9,8,-,9,8,2,9,10,-,9,10,-,9,10,-,9,10,3,12,10,-,12,10,5,16,11,-,16,11,-,16,11,-,16,11
COL,-,-,-,-,-,-,-,-,-,11,5,6,8,9,10,14,16,17,12,20,25,8,25,28,6,29,30,12,36,35,5,38,38,4,42,38,3,43,40,-,43,40,7,45,44,6,42,44,4,42,45,36,55,68,23,63,83,15,69,92,20,75,106,14,84,111,12,89,118,5,92,120,6,96,122,6,100,124,2,100,126,26,110,142,47,127,172,21,132,188,18,137,201,2,138,201,5,141,203,29,153,220,30,166,237,40,185,258,18,192,269,13,200,274,32,215,291,37,233,310,40,247,336,65,279,369,36,301,383,53,322,415,181,405,513,136,473,581,232,575,711,-,575,711,-,575,711,418,779,925,134,828,1,-,828,1,105,825,1
CHP,-,-,-,-,-,-,2,-,2,1,1,2,-,1,2,18,10,11,6,12,15,-,12,15,1,13,15,4,14,18,1,15,18,2,16,19,2,17,20,1,17,21,6,21,23,13,28,29,12,34,35,20,42,47,9,46,52,18,54,62,17,63,70,21,76,78,17,85,86,35,103,103,33,118,121,39,135,143,51,160,169,59,195,193,67,235,220,35,248,242,22,261,251,43,283,272,43,303,295,62,327,333,31,339,352,53,358,386,27,373,398,44,389,425,28,401,441,41,423,460,30,438,475,37,459,491,72,489,529,19,497,540,27,510,554,19,517,566,14,526,571,18,537,578,11,541,585,5,545,586,-,545,586,15,551,595,-,551,595
CHH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,--,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DIF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
